rank_by_abs_component_1,matrix_index,action_key,node_type,name,synthetic,source,coproduct,is_original_recipe,component_1,absolute_share_1
25211,13206,__pr_graph_lp_or_to_or_and__: 75686:item-deliver: laboratory-grown-brain --> item: laboratory-grown-brain:noncoproduct-route,,,True,item-deliver: laboratory-grown-brain --> item: laboratory-grown-brain,False,False,2.921386244541317e-36,2.48270091117284e-36
25212,5359,__pr_graph_lp_or_to_or_and__: 14899:item: fish --> fuel-category: fish__0,,,True,item: fish --> fuel-category: fish__0,False,False,2.9210658445860078e-36,2.4824286235688054e-36
25213,20835,item-deliver: digested-rennea-seeds-mk03,item-deliver,digested-rennea-seeds-mk03,False,,False,False,-2.9208685484272427e-36,2.4822609540748957e-36
25214,149,__pr_graph_lp_or_cost_row__: entity: bio-printer-mk03,,,True,node-cost:entity: bio-printer-mk03,False,False,2.9207064167360986e-36,2.4821231686320821e-36
25215,823,__pr_graph_lp_or_cost_row__: entity: vonix-den-mk01,,,True,node-cost:entity: vonix-den-mk01,False,False,2.9204894801531638e-36,2.481938807987157e-36
25216,1976,__pr_graph_lp_or_cost_row__: item: heavy-water-barrel,,,True,node-cost:item: heavy-water-barrel,False,False,2.9200444593939813e-36,2.4815606130646687e-36
25217,22268,item-deliver: reinforced-wall-shield,item-deliver,reinforced-wall-shield,False,,False,False,-2.9182909816527105e-36,2.4800704435281656e-36
25218,6003,__pr_graph_lp_or_to_or_and__: 21839:item-craft: high-grade-zinc --> item: high-grade-zinc,,,True,item-craft: high-grade-zinc --> item: high-grade-zinc,False,False,-2.9180326034519481e-36,2.4798508642802456e-36
25219,11991,__pr_graph_lp_or_to_or_and__: 73412:item-deliver: desulfurizator-unit-mk02 --> item: desulfurizator-unit-mk02:noncoproduct-route,,,True,item-deliver: desulfurizator-unit-mk02 --> item: desulfurizator-unit-mk02,False,False,-2.9175817813144532e-36,2.4794677391342206e-36
25220,13453,__pr_graph_lp_or_to_or_and__: 76150:item-deliver: korlex-codex-mk02 --> item: korlex-codex-mk02:noncoproduct-route,,,True,item-deliver: korlex-codex-mk02 --> item: korlex-codex-mk02,False,False,-2.9168254532260728e-36,2.4788249838540258e-36
25221,20480,item-deliver: brain-caged-kmauts,item-deliver,brain-caged-kmauts,False,,False,False,-2.9164525965235957e-36,2.4785081165870883e-36
25222,23324,item-launch: caged-mukmoux,item-launch,caged-mukmoux,False,,True,False,-2.9155017774799819e-36,2.4777000757775747e-36
25223,16642,__pr_graph_lp_or_to_or_and__: 8474:item: mukmoux-mk03 --> entity-operate-py-module: mukmoux-pasture-mk01,,,True,item: mukmoux-mk03 --> entity-operate-py-module: mukmoux-pasture-mk01,False,False,-2.9140653179648398e-36,2.4764793199279262e-36
25224,10718,__pr_graph_lp_or_to_or_and__: 71592:fluid-temperature: ammonia: 15 --> fluid: ammonia:noncoproduct-route,,,True,fluid-temperature: ammonia: 15 --> fluid: ammonia,False,False,-2.9139195288544103e-36,2.4763554230081065e-36
25225,14295,__pr_graph_lp_or_to_or_and__: 77738:item-deliver: mcb-barrel --> item: mcb-barrel:noncoproduct-route,,,True,item-deliver: mcb-barrel --> item: mcb-barrel,False,False,2.9134885295957752e-36,2.4759891440697677e-36
25226,11319,__pr_graph_lp_or_to_or_and__: 72363:fluid-temperature: neutron: 100 --> fluid-temperature-range: neutron: nil: 200:noncoproduct-route,,,True,fluid-temperature: neutron: 100 --> fluid-temperature-range: neutron: nil: 200,False,False,2.9134723930578399e-36,2.4759754306494661e-36
25227,18358,entity-mine: moondrop-greenhouse-mk01,entity-mine,moondrop-greenhouse-mk01,False,,True,False,2.9129612517275188e-36,2.4755410440465657e-36
25228,4269,__pr_graph_lp_or_to_or_and__: 12501:fluid-create-temperature: outlet-gas-04: 15 --> fluid-create: outlet-gas-04,,,True,fluid-create-temperature: outlet-gas-04: 15 --> fluid-create: outlet-gas-04,False,False,2.9116816864324623e-36,2.4744536226452095e-36
25229,11663,__pr_graph_lp_or_to_or_and__: 72788:item-deliver: explosive-uranium-cannon-shell --> item: explosive-uranium-cannon-shell:noncoproduct-route,,,True,item-deliver: explosive-uranium-cannon-shell --> item: explosive-uranium-cannon-shell,False,False,-2.9091637258092987e-36,2.4723137675866371e-36
25230,14059,__pr_graph_lp_or_to_or_and__: 77302:item-deliver: gold-solution-barrel --> item: gold-solution-barrel:noncoproduct-route,,,True,item-deliver: gold-solution-barrel --> item: gold-solution-barrel,False,False,-2.9091356233978911e-36,2.4722898851292804e-36
25231,23712,item-launch: electrolyzer-mk03,item-launch,electrolyzer-mk03,False,,True,False,2.9088127476404328e-36,2.4720154934980007e-36
25232,6046,__pr_graph_lp_or_to_or_and__: 22104:item-craft: casting-unit-mk01 --> item: casting-unit-mk01,,,True,item-craft: casting-unit-mk01 --> item: casting-unit-mk01,False,False,-2.908453455847336e-36,2.4717101541873343e-36
25233,6689,__pr_graph_lp_or_to_or_and__: 26698:item-craft: auog-pup-mk03 --> item: auog-pup-mk03,,,True,item-craft: auog-pup-mk03 --> item: auog-pup-mk03,False,False,-2.9077706440431727e-36,2.4711298757351019e-36
25234,17203,__pr_graph_lp_or_to_or_and__: 9593:item: py-rtg --> entity-build-item: py-rtg,,,True,item: py-rtg --> entity-build-item: py-rtg,False,False,-2.9076472831158762e-36,2.4710250391058562e-36
25235,12238,__pr_graph_lp_or_to_or_and__: 73884:item-deliver: mk02-fluid-wagon --> item: mk02-fluid-wagon:noncoproduct-route,,,True,item-deliver: mk02-fluid-wagon --> item: mk02-fluid-wagon,False,False,2.9074271699737275e-36,2.4708379789046951e-36
